schedule_segment_id,source_record_id,pharmacy_name,source_type,source_url,source_updated_at,day_type,hours_source_raw,hours_normalized,schedule_status,open_time,close_time,closes_next_day,break_note,institution_id,institution_match_status,effective_schedule_status,review_required
pharmacy-source:021:saturday,pharmacy-source:021,만종대형약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,08:00~22:00,08:00~22:00,parsed,08:00,22:00,False,,wonju:13193112,auto_matched,source_values,False
pharmacy-source:021:sunday,pharmacy-source:021,만종대형약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,08:00~22:00,08:00~22:00,parsed,08:00,22:00,False,,wonju:13193112,auto_matched,source_values,False
pharmacy-source:022:weekday,pharmacy-source:022,행복약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,08:00~21:00,08:00~21:00,parsed,08:00,21:00,False,,wonju:13193192,auto_matched,source_values,False
pharmacy-source:022:saturday,pharmacy-source:022,행복약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,08:00~19:00,08:00~19:00,parsed,08:00,19:00,False,,wonju:13193192,auto_matched,source_values,False
pharmacy-source:022:sunday,pharmacy-source:022,행복약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,08:00~20:30,08:00~20:30,parsed,08:00,20:30,False,,wonju:13193192,auto_matched,source_values,False
pharmacy-source:023:weekday,pharmacy-source:023,원주대형약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,08:00~23:00,08:00~23:00,parsed,08:00,23:00,False,,wonju:13193118,auto_matched,source_values,False
pharmacy-source:023:saturday,pharmacy-source:023,원주대형약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,08:00~23:00,08:00~23:00,parsed,08:00,23:00,False,,wonju:13193118,auto_matched,source_values,False
pharmacy-source:023:sunday,pharmacy-source:023,원주대형약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,08:00~23:00,08:00~23:00,parsed,08:00,23:00,False,,wonju:13193118,auto_matched,source_values,False
pharmacy-source:024:weekday,pharmacy-source:024,나나약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,09:00~21:00,09:00~21:00,parsed,09:00,21:00,False,,wonju:13193085,auto_matched,source_values,False
pharmacy-source:024:saturday,pharmacy-source:024,나나약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,09:00~18:00,09:00~18:00,parsed,09:00,18:00,False,,wonju:13193085,auto_matched,source_values,False
pharmacy-source:024:sunday,pharmacy-source:024,나나약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,09:00~18:00,09:00~18:00,parsed,09:00,18:00,False,,wonju:13193085,auto_matched,source_values,False
pharmacy-source:025:weekday,pharmacy-source:025,아침약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,10:00~01:00(19시~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),parsed,10:00,01:00,True,19:00~22:00 휴게시간,wonju:13193124,verified_by_name_address,unresolved,True
pharmacy-source:025:saturday,pharmacy-source:025,아침약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,10:00~01:00(19시~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),parsed,10:00,01:00,True,19:00~22:00 휴게시간,wonju:13193124,verified_by_name_address,unresolved,True
pharmacy-source:025:sunday,pharmacy-source:025,아침약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,10:00~01:00(19시~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),parsed,10:00,01:00,True,19:00~22:00 휴게시간,wonju:13193124,verified_by_name_address,unresolved,True
